OFFENSE,codec_category
NEGLIGENT ASSAULT,violent
FELONIOUS ASSAULT - VICTIM SERIOUSLY HARMED,violent
ETHNIC INTIMIDATION,violent
FEL ASSLT - SEXUAL CONDUCT W/O DISCLOSING HIV KNOWLEDGE,violent
AGGRAVATED ASSAULT - WEAPON OR ORDNANCE,violent
PATIENT ABUSE; NEGLECT - ABUSE,violent
PATIENT ABUSE; NEGLECT - GROSS NEGLECT,violent
UNAUTHORIZED USE OF MOTOR VEHICLE,property
UNAUTHORIZED USE OF MOTOR VEHICLE-JOY RIDING,property
AGGRAVATED ROBBERY,violent
ROBBERY,violent
"AGG ROBBERY - ARMED, DEADLY WEAPON",violent
ROBBERY - USE/THREATEN IMMED USE OF FORCE,violent
ROBBERY-INFLICT/ATTEMPT/THREAT SER PHYS HARM,violent
AGG ROBBERY - INFLICT/ATTEMPT SERIOUS HARM,violent
"AGG ROBBERY - ARMED, DEADLY ORDNANCE",violent
"ROBBERY - DANGEROUS WEAPON, ORDNANCE",violent
RAPE,violent
"RAPE - VICTIM < 13, NON-FORCIBLE",violent
"RAPE - FORCE, THREAT OF",violent
RAPE - SUBSTANTIALLY IMPAIR JUDGMENT,violent
SEXUAL ASSAULT WITH AN OBJECT,violent
RAPE - VICTIM MENTAL OR PHYSICAL DISABILITY,violent
NA,other
RETALIATION,other
"CONTAMINATE SUBST FOR HUMAN CONSUMP/USE,SPREAD FALSE REPORT",other
HAZING,violent
UNLAWFUL USE TELECOM DEVICE,other
MURDER,violent
AGG VEH HOM/VEH HOM/VEH MNSLGHTER,violent
AGGRAVATED MURDER,violent
RECKLESS HOMICIDE,violent
INVOLUNTARY MANSLAUGHTER,violent
AGGRAVATED MURDER - FELONY,violent
NEGLIGENT HOMICIDE,violent
VOLUNTARY MANSLAUGHTER,violent
AGGRAVATED MURDER - PREMEDITATED,violent
INVOL MANSLAUGHTER - RESULT OF MISDEMEANOR,violent
